country_code,Name,nd_gain_score,co2_emissions_per_capita,coal_electricity_pct,energy_use_per_capita,gdp_constant_usd,gdp_per_capita_constant,ghg_emissions_per_capita,renewable_electricity_pct,renewable_final_energy_pct,building_energy_codes,carbon_tax_electricity,carbon_tax_industry,carbon_tax_transport,climate_governance,coal_phaseout,congestion_charge,energy_efficiency_mandate,ets_electricity,ets_industry,feed_in_tariff_solar,fossil_extraction_ban,fossil_fuel_subsidy_reform,fossil_heating_phaseout,ice_vehicle_phaseout,ndc,net_zero_target,rdd_renewables,renewables_expansion
NLD,Netherlands,66.11678691810668,10.432086593408258,26.6623533258946,4593.443626241382,743503365257.6873,44616.91643018948,12.58494515844253,10.33798617668189,4.566666666666667,4.285714285714286,0.0,0.0,0.0,0.0,1.0476190476190477,0.0,3.5714285714285716,4.666666666666667,4.690476190476191,4.619047619047619,0.0,5.0476190476190474,0.27380952380952384,0.6428571428571429,1.4285714285714286,0.0,9.238095238095237,2.4285714285714284
NOR,Norway,74.12812847149897,9.261270834369672,0.10306988631637985,5799.021962873199,361164469503.30615,73445.07732117925,12.441007322035428,1.5451180682010477,57.838095238095235,5.238095238095238,0.0,0.0,9.238095238095237,0.0,0.0,5.476190476190476,1.5714285714285714,4.166666666666667,4.190476190476191,0.0,0.0,3.4761904761904763,1.8869047619047619,0.8809523809523809,1.7857142857142858,2.761904761904762,7.666666666666667,3.619047619047619
NZL,New Zealand,71.43141995838485,8.040233154745195,6.552743379466587,4203.892932572113,160308382156.13046,36347.93459242942,19.71260871595825,17.46827914642693,27.919047619047618,10.0,0.0,0.0,0.0,0.6857143052380953,0.9047619047619048,0.0,0.7619047619047619,3.642857142857143,3.642857142857143,0.0,0.7142857142857143,4.476190476190476,0.0,0.0,1.7857142857142858,1.3333333333333333,6.238095238095238,2.5238095238095237
PER,Peru,46.62221798727508,1.4426865664722408,1.7380167745687385,625.6247791219835,149562754340.66394,5029.66478051095,2.4613241272206765,1.916446787971962,33.22857142857143,1.7857142857142858,0.0,0.0,0.0,0.0,0.15476190476190477,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7539682857142858,0.6309523809523809,0.0,2.0952380952380953
POL,Poland,59.66920446602326,8.327283352396892,86.16451126304946,2539.3658525636065,414026359438.8547,10884.354793250552,10.623007295663772,6.425323486086523,9.985714285714286,6.666666666666667,0.0,0.0,1.0952380952380953,0.0,0.0,0.0,1.0,4.5476190476190474,4.571428571428571,0.0,0.0,2.142857142857143,0.0,0.0,1.7857142857142858,0.0,3.142857142857143,0.38095238095238093
PRT,Portugal,59.08368987328456,5.3779334707281,24.451279736129035,2249.9677894403203,203586075625.1809,19518.669375324305,6.992491427521474,19.426523467101628,24.83809523809524,10.0,2.2857142857142856,0.0,1.1428571428571428,0.0,0.9761904761904762,0.0,4.190476190476191,4.5476190476190474,4.571428571428571,3.9523809523809526,0.0,5.238095238095238,0.0,0.0,1.7857142857142858,1.3571428571428572,2.9047619047619047,3.0
ROU,Romania,49.43905770559214,4.468223899329111,33.35676898060465,1728.599130252877,159676817775.35376,7860.403960700128,6.0775852403297215,5.617054898998187,20.476190476190474,0.47619047619047616,0.0,0.0,0.0,0.0,0.0,0.0,2.5714285714285716,3.9047619047619047,3.9285714285714284,0.0,0.0,0.0,0.0,0.0,1.4285714285714286,0.0,0.0,3.4761904761904763
RUS,Russian Federation,59.388005106844254,12.173556898163529,16.883486382251018,4761.4136556083495,1209743392854.6807,8336.169875372023,15.378250920841248,0.17749434000371267,3.4095238095238094,7.619047619047619,0.0,0.0,0.0,0.0,0.0,0.0,3.4285714285714284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35714285714285715,0.0,0.0,1.0476190476190477
SAU,Saudi Arabia,49.50696298432988,18.46950792910214,0.0,7201.395599052855,553677905199.474,22337.519267058127,23.499711534458562,0.013350992484335264,0.004761904761904762,1.4285714285714286,0.0,0.0,0.0,0.0,4.25,0.0,0.9047619047619048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11904761904761904,0.0,0.0,0.047619047619047616
SVK,Slovakia,56.33780205082658,7.148664641070349,15.306880558331326,3297.2348057274676,75842333462.53275,14024.230558260439,8.835554931665909,3.8701111747076036,9.80952380952381,0.0,0.0,0.0,0.0,0.0,0.42857142857142855,0.0,3.4285714285714284,4.5476190476190474,4.571428571428571,2.5714285714285716,0.0,5.0,0.09523809523809523,0.0,1.7857142857142858,0.6785714285714286,4.476190476190476,1.6666666666666667
SVN,Slovenia,63.23993551921457,7.9563579417472265,31.731893672492042,3470.531105758494,41240787048.978096,20208.64753439004,10.466204699877126,1.9858850256381215,19.54285714285714,0.0,9.095238095238095,7.904761904761905,5.095238095238095,0.0,0.047619047619047616,0.0,0.0,4.5476190476190474,4.571428571428571,1.9523809523809523,0.0,4.142857142857143,0.0,0.6190476190476191,1.7857142857142858,0.6190476190476191,0.0,0.0
SWE,Sweden,69.90081536524853,5.2460303005561,1.3038229897878844,5239.391397387065,456093063695.96576,48063.34280267694,6.993352732119328,11.068213969350138,44.976190476190474,4.285714285714286,0.0,0.0,9.761904761904763,0.5238095142857142,1.1785714285714286,3.380952380952381,0.0,4.5476190476190474,4.571428571428571,0.14285714285714285,0.0,5.238095238095238,1.9404761904761905,0.30952380952380953,1.7857142857142858,1.7619047619047619,8.523809523809524,0.23809523809523808
TUR,Turkey,51.127113764040914,4.2627476682476555,29.318123299550535,1451.4007041157656,685536555149.9568,9139.57446225093,5.451513841073917,4.151692528441158,14.109523809523811,8.095238095238095,0.0,0.0,0.0,0.0,0.0,0.0,2.0952380952380953,0.0,0.0,3.9047619047619047,0.0,3.1904761904761907,0.0,0.0,0.0,0.0,1.7142857142857142,2.4761904761904763
ZAF,South Africa,47.996606409162126,8.364269246821104,91.45840095233977,2364.6969188580397,304106121565.211,5710.946218564886,10.580186753567052,0.7508302885511577,9.8,4.761904761904762,0.7142857142857143,0.5714285714285714,0.3333333333333333,0.09523809523809523,0.0,0.0,2.5714285714285716,0.0,0.0,0.9523809523809523,0.0,4.619047619047619,0.0,0.0,1.9841269047619046,0.35714285714285715,0.0,2.619047619047619
