country_code,Name,nd_gain_score,co2_emissions_per_capita,coal_electricity_pct,ghg_emissions_per_capita,renewable_electricity_pct,renewable_final_energy_pct,building_energy_codes,carbon_tax_electricity,carbon_tax_industry,carbon_tax_transport,climate_governance,coal_phaseout,congestion_charge,energy_efficiency_mandate,ets_electricity,ets_industry,feed_in_tariff_solar,fossil_extraction_ban,fossil_fuel_subsidy_reform,fossil_heating_phaseout,ice_vehicle_phaseout,ndc,net_zero_target,rdd_renewables,renewables_expansion,log_gdp_pc,log_energy_pc,policy_score_norm
CZE,Czech Republic,62.68726311375826,11.435405282886714,57.799846391312485,13.793393034208616,4.734077403507223,11.071428571428571,3.3333333333333335,0.0,0.0,0.0,0.0,0.0,0.0,5.181818181818182,4.5476190476190474,4.571428571428571,3.2857142857142856,0.0,7.363636363636363,0.0,0.0,6.0,0.0,4.888888888888889,2.0,9.71346096895583,8.336449121563513,
DEU,Germany,68.5807285053265,9.823056303825265,44.31550217314707,11.393768693073447,16.830021563524177,11.042857142857144,5.714285714285714,0.0,0.0,0.0,0.4095238047619047,0.3571428571428571,0.0,4.818181818181818,4.5476190476190474,4.571428571428571,4.428571428571429,0.0,5.545454545454546,0.1011904761904761,0.5,7.5,1.8333333333333333,7.190476190476191,4.909090909090909,10.580167460396789,8.275296272323716,
DNK,Denmark,70.28008324603204,8.101932947861354,37.84381578781471,10.764064859942597,41.10403785431502,23.219047619047625,6.190476190476191,0.0,0.0,5.904761904761905,2.2476190857142857,0.9047619047619048,0.0,6.0,4.5476190476190474,4.571428571428571,2.1904761904761907,0.238095238095238,8.727272727272727,1.0238095238095235,0.4642857142857143,7.5,1.1547619047619049,9.714285714285714,4.818181818181818,10.870272941152734,8.087302791803127,
ESP,Spain,60.96513826328599,6.696906318314497,19.294670701725835,8.433840153921299,16.699163999419333,12.761904761904765,5.238095238095238,0.0,0.0,0.0,0.0,0.1428571428571428,0.0,5.363636363636363,4.5476190476190474,4.571428571428571,3.238095238095238,0.0,7.181818181818182,0.0,0.2142857142857142,6.0,1.119047619047619,5.666666666666667,6.818181818181818,10.165803575944748,7.94591359036079,
EST,Estonia,61.86254961766702,14.974316497619416,86.91770719582328,18.24370202537541,9.265742867521402,24.085714285714285,4.285714285714286,2.761904761904762,0.0,0.0,0.0,0.5357142857142857,0.0,,4.5476190476190474,4.571428571428571,2.761904761904762,0.0,9.818181818181818,0.0,0.0,7.5,0.5238095238095238,5.7,,9.675107960643397,8.289518607989807,
FIN,Finland,72.7648681490158,10.660117640338385,19.945947650921216,13.746034817254884,17.07868602827304,36.44285714285714,6.904761904761905,0.0,0.0,7.095238095238095,2.419047580952381,1.119047619047619,0.0,3.363636363636364,4.5476190476190474,4.571428571428571,0.0,0.0,10.0,0.494047619047619,0.0,7.5,1.4285714285714286,9.666666666666666,4.181818181818182,10.66883097947042,8.769813304676504,
FRA,France,66.25795016598221,5.6842456597207,3.768634415019248,7.7044067353284,3.909183452260273,11.609523809523813,7.619047619047619,0.0,0.0,2.1904761904761907,0.7809523619047619,1.2261904761904765,0.0,1.818181818181818,4.5476190476190474,4.571428571428571,3.952380952380953,0.0,8.909090909090908,0.238095238095238,0.5476190476190477,7.5,1.511904761904762,7.142857142857143,9.0,10.48554665597126,8.285806993384274,
GBR,United Kingdom,69.29298579239578,7.688227933228786,26.131584439662884,9.751834302591355,12.583544270400534,4.647619047619047,9.047619047619047,0.0,0.0,0.0,5.580952371428571,1.1547619047619049,7.809523809523809,6.0,5.0,4.571428571428571,1.9047619047619049,0.0,4.636363636363637,0.0535714285714285,0.6428571428571429,7.5,1.761904761904762,5.0,6.7272727272727275,10.683649045481625,8.061694487852757,
GRC,Greece,57.30767707351118,7.810831378792438,48.764113403645936,9.82259733344118,9.590501145932294,12.214285714285714,5.238095238095238,0.0,0.0,0.0,0.4952380761904761,0.4047619047619047,0.0,1.5454545454545454,4.5476190476190474,4.571428571428571,4.333333333333333,0.0,7.909090909090909,0.0,0.0,7.5,0.4047619047619047,3.3333333333333335,6.636363636363637,9.900712953120903,7.789635856313419,
HUN,Hungary,57.61623976761273,5.42345460831734,19.54943024626458,7.300323921951126,6.500673157020397,11.223809523809525,8.571428571428571,0.0,0.0,0.0,0.0,0.0952380952380952,0.0,4.181818181818182,4.5476190476190474,4.571428571428571,2.0,0.0,7.363636363636363,0.0,0.0,7.5,0.7738095238095238,4.809523809523809,2.636363636363636,9.382886167334815,7.8678110031018615,
