country_code,year,coal_electricity_pct,energy_use_per_capita,gdp_constant_usd,gdp_per_capita_constant,renewable_electricity_pct,renewable_final_energy_pct
IDN,2020,66.5184054170678,848.436766186593,1027656193885.38,3739.44906563161,8.4805233601994,21.9
IDN,2021,66.8668021944359,896.813534898965,1065709127396.86,3850.68877253903,8.65237684146036,20.2
IDN,2022,67.7304973462953,953.65392850686,1122268412650.2,4024.91225288391,,
IDN,2023,69.1247173903013,976.949985543796,1178932006499.5,4192.65167890692,,
IDN,2024,,,1238236350136.56,4367.86266621191,,
IND,2015,76.0124264133462,622.339883988149,2103588360044.94,1583.99815907985,4.84184605005476,33.4
IND,2016,75.4844932161528,627.273531026365,2277267041550.36,1694.46534973825,3.9832387575032,33.0
IND,2017,74.8600089000964,648.014718317903,2432016068497.75,1788.69770318446,4.77156485415497,32.5
IND,2018,74.9944368680873,668.303370218852,2588974770244.57,1883.35772705062,5.60539679737644,32.9
IND,2019,72.8626165369332,666.977347524506,2689205295885.31,1936.03067741067,6.35327384440851,33.5
IND,2020,71.3633580245628,632.239828540427,2533830417086.54,1806.50110583878,9.28554258342319,36.1
IND,2021,71.4858907657204,676.814293488143,2779348258938.77,1965.30943437506,9.20447543029223,34.9
IND,2022,71.739704380177,727.902200094024,2990839011962.46,2098.2112447615,,
IND,2023,74.4262435353777,754.179577921116,3265719695911.24,2270.9051808027,,
IND,2024,,,3477820532826.48,2396.94999213544,,
ITA,2015,16.0385592576495,2533.02354460955,1845428048839.1,30639.8829751432,22.3967306611824,16.6
ITA,2016,13.2530619428713,2511.46353090755,1868241619489.51,31077.6792675211,22.6403075574513,16.1
ITA,2017,11.8635702937498,2557.32535513975,1898202609462.08,31635.52277108,22.8889226920867,16.4
ITA,2018,10.6848965164925,2503.3498604998,1913894038926.83,31819.3971830067,22.6578762063871,17.1
ITA,2019,7.23218752233259,2494.02659804115,1922107755078.16,32180.4341017428,23.6654279520713,17.3
ITA,2020,5.36197425596458,2313.10006204514,1751650987235.43,29469.7989238626,24.7302009403595,18.7
ITA,2021,5.51287062950368,2531.08698798735,1908092024820.83,32267.7091050201,24.5491180306432,17.5
ITA,2022,8.52088843186212,2411.65172417311,2000084512919.56,33891.8866526216,,
ITA,2023,5.43072575892655,2298.39093933589,2019599234310.29,34239.6554751239,,
ITA,2024,,,2033588532657.24,34495.2545799636,,
JPN,2015,33.3652618135377,3400.59271053608,4444930651964.18,34960.6393843385,5.55725588882088,6.2
JPN,2016,32.2460272165904,3370.8877963853,4478437728050.46,35242.199377148,6.69775835351678,6.4
JPN,2017,32.2833487103225,3391.05041453219,4553466417290.11,35861.9728545672,7.76675220406082,6.9
JPN,2018,31.1481878980742,3343.05412833973,4582763011478.55,36138.5290824814,8.7805746797831,7.3
JPN,2019,31.4513807244531,3261.62024942915,4564332550096.38,36043.7844013518,10.1388571940274,7.8
JPN,2020,30.5727898983641,3046.85480668859,4374056271824.01,34642.9718743239,11.6827700825577,8.5
JPN,2021,30.6095541850287,3196.03970960845,4492005937826.88,35741.1601062924,12.6418714359476,8.8
JPN,2022,30.2823385370043,3129.65861717499,4534320578755.85,36238.3294895302,,
JPN,2023,28.3087384605564,3039.14126131753,4601203385713.7,36952.5150709861,,
JPN,2024,,,4606002855955.13,37152.5636003552,,
KOR,2015,42.4711554894567,5239.00345362778,1539212301135.55,30171.7906545222,1.54467671967099,2.7
KOR,2016,41.4878489370601,5390.84042635905,1588028842393.05,31005.4072876388,2.33748898796017,2.6
KOR,2017,45.8433417000085,5467.82224967457,1642548917819.59,31979.9027302467,2.75473216478576,2.8
KOR,2018,44.2897404901964,5531.77957372505,1694718171579.25,32852.8887488942,3.31399440372008,3.2
KOR,2019,42.6555964152062,5334.67385872126,1733930596323.25,33496.3113815643,4.20412213714381,3.2
KOR,2020,37.002993775169,5195.91011087811,1721788880530.99,33215.9298928108,5.02715264887679,3.6
KOR,2021,35.407072795039,5513.62830573477,1801214449834.76,34792.9397214598,5.51298275297892,3.6
KOR,2022,34.7264030316269,5411.97477731382,1850343736945.76,35809.0138105144,,
KOR,2023,33.6310864029737,5336.92485966157,1879634949821.72,36347.7036392553,,
KOR,2024,,,1917295522781.86,37048.4264001496,,
MEX,2015,10.8795901488993,1539.13826670827,1213294467716.88,10021.2386118827,5.34818035250541,9.2
MEX,2016,10.8116471110389,1525.3837445098,1234800030119.7,10100.5021214015,5.9096242443943,9.2
MEX,2017,9.59712710460603,1478.43896510686,1257912134612.3,10193.7727193457,5.89875330679655,10.1
MEX,2018,7.75267309079139,1493.47882156246,1282719194577.95,10296.8690928534,6.67321287626273,10.3
MEX,2019,7.63903388689078,1469.65350320528,1277682078094.17,10159.4448364319,9.87361010225177,10.3
MEX,2020,5.23870718625375,1366.42722558757,1170944075446.26,9234.64362317923,12.5898417467586,12.3
MEX,2021,5.38857079905556,1417.70559078908,1241768434200.36,9728.05680032556,13.9554574985336,13.0
MEX,2022,7.31933292155652,1525.73516114419,1287835026749.81,10013.2479236143,,
MEX,2023,8.63588980675848,1559.78994657193,1331023107619.63,10259.1766616403,,
MEX,2024,,,1350022500028.81,10316.4611902215,,
RUS,2015,14.851846855961,4785.19572494067,1363482182197.71,9277.7138671875,0.169662327735438,3.2
RUS,2016,15.7146877145447,4917.54083897618,1366123111808.03,9269.3193359375,0.160007626219897,3.4
RUS,2017,15.9696533270949,4999.07990773733,1391065651845.68,9418.9140625,0.176730440249733,3.2
